Date,Open,High,Low,Close,Adj Close,Volume
2009-03-01,3.197000,3.780500,2.991000,3.672000,3.672000,4553446000
2009-04-01,3.651000,4.334000,3.585500,4.026000,4.026000,3700640000
2009-05-01,4.019000,4.180000,3.655000,3.899500,3.899500,2752068000
2009-06-01,3.910500,4.428000,3.812500,4.183000,4.183000,3041708000
2009-07-01,4.221000,4.720000,3.770500,4.288000,4.288000,3509228000
2009-08-01,4.328000,4.410000,4.012500,4.059500,4.059500,2252458000
2009-09-01,4.037000,4.725000,3.875500,4.668000,4.668000,2562436000
2009-10-01,4.625000,6.284000,4.413500,5.940500,5.940500,5372328000
2009-11-01,5.933000,6.804000,5.812500,6.795500,6.795500,3206102000
2009-12-01,6.847000,7.295500,6.282500,6.726000,6.726000,4149422000
2010-01-01,6.812500,6.830500,5.906000,6.270500,6.270500,4617220000
2010-02-01,6.159000,6.243000,5.691000,5.920000,5.920000,4202916000
2010-03-01,5.935000,6.909500,5.876500,6.788500,6.788500,3160852000
2010-04-01,6.790000,7.554500,6.539000,6.855000,6.855000,3460502000
2010-05-01,6.860000,6.972000,5.876000,6.273000,6.273000,2818198000
2010-06-01,6.248500,6.457500,5.300500,5.463000,5.463000,2667570000
2010-07-01,5.445000,6.244000,5.290000,5.894500,5.894500,3506524000
2010-08-01,5.957500,6.540500,5.878500,6.241500,6.241500,2268396000
2010-09-01,6.318000,8.089000,6.308500,7.853000,7.853000,2686420000
2010-10-01,7.854000,8.599500,7.570000,8.261500,8.261500,2857670000
2010-11-01,8.222500,9.092000,7.838500,8.770000,8.770000,2620228000
2010-12-01,8.958000,9.282500,8.654500,9.000000,9.000000,1873234000
2011-01-01,9.068500,9.580000,8.345000,8.482000,8.482000,2272226000
2011-02-01,8.526000,9.570000,8.475500,8.664500,8.664500,1915528000
2011-03-01,8.676500,9.078500,8.029500,9.006500,9.006500,2379582000
2011-04-01,9.079000,9.890000,8.768500,9.790500,9.790500,2334988000
2011-05-01,9.828500,10.319500,9.544000,9.834500,9.834500,2125490000
2011-06-01,9.803000,10.312500,9.079500,10.224500,10.224500,1911274000
2011-07-01,10.277500,11.360000,10.180500,11.126000,11.126000,1856170000
2011-08-01,11.250000,11.372500,8.855000,10.761500,10.761500,3103894000
2011-09-01,10.764000,12.200000,10.223500,10.811500,10.811500,2872466000
2011-10-01,10.850500,12.335500,9.825500,10.675500,10.675500,3184288000
2011-11-01,10.405500,11.117500,9.075500,9.614500,9.614500,2731762000
2011-12-01,9.592500,9.983000,8.348500,8.655000,8.655000,2511904000
